Day,Location,Min Delay,Bound
Saturday,KING AND UNIVERSITY,9,E
Saturday,DUNDAS AND YONGE,14,E
Saturday,LAKESHORE BLVD W AND E,26,W
Saturday,SPADINA STATION,8,E
Saturday,QUEEN AND BROADVIEW,6,E
Saturday,HOWARD PARK AND RONCES,8,W
Saturday,BROADVIEW AND WOLFREY,11,N
Saturday,QUEEN AND SIMCOE,5,E
Saturday,BROADVIEW STATION,9,N
Saturday,LAKE SHORE AND 20TH,5,W
Saturday,KING AND BATHURST,27,W
Saturday,DUNDAS AND BROADVIEW,11,E
Saturday,VICTORIA AND RICHMOND,9,S
Saturday,DUNDAS WEST STATION,11,S
Saturday,GERRARD AND PARLIAMENT,10,W
Saturday,DUNDAS AND SPADINA,35,W
Saturday,FLEET AND BATHURST,57,E
Saturday,EXHIBITION LOOP,46,N
Saturday,KING AND BATHURST,10,W
Saturday,KING AND YONGE,9,W
Saturday,QUEEN AND GLADSTONE,10,W
Saturday,DUNDAS AND SPADINA,15,W
Saturday,GERRARD AND PARLIAMENT,16,W
Saturday,WINDERMERE AND THE QUE,10,N
Saturday,DUNDAS AND BATHURST,10,W
Saturday,KING AND TECUMSEH,10,W
Sunday,THE QUEENSWAY AND COLB,10,W
Sunday,EDNA AND DORVAL RD (DU,10,E
Sunday,RONCESVALLES DIVISION,8,E
Sunday,LANSDOWNE AND COLLEGE,10,N
Sunday,DUNDAS W AND LISGAR ST,10,W
Sunday,QUEEN AND JARVIS,6,W
Sunday,LANSDOWNE AND COLLEGE,15,E
Sunday,KING AND SACKVILLE,38,E
Sunday,3 KINGSTON RD,15,E
Sunday,BATHURST STATION,12,N
Sunday,DUNDAS AND PARLIAMENT,7,W
Sunday,FLEET AND BATHURST,7,W
Sunday,MANITOBA AND STRACHAN,8,W
Sunday,LANSDOWNE AND COLLEGE,9,E
Sunday,SPADINA STATION,5,S
Sunday,BROADVIEW STATION,8,W
Sunday,ST CLAIR STATION,7,E
Sunday,313 PARLIAMENT,15,W
Sunday,QUEEN AND BEACH,59,W
Sunday,HIGH PARK LOOP,37,E
Sunday,KINGSTON RD LOOP,10,W
Sunday,QUEEN AND CHURCH,10,W
Monday,LAKE SHORE BLVD AND TH,20,N
Monday,SPADINA AND WELLINGTON,41,N
Monday,QUEEN AND PARLIAMENT,36,W
Monday,VICTORIA AND DUNDAS,8,W
Monday,DUNDAS AND JARVIS,8,E
Monday,DUNDAS AND GLADSTONE,8,E
Monday,RONCESVALLES YARD,6,E
Monday,HOWARD PARK AND RONCES,5,E
Monday,DUNDAS AND DUFFERIN,9,W
Monday,BATHURST AND DUNDAS,9,N
Monday,LAKE SHORE AND ROYAL Y,8,W
Monday,PARKLAWN AND LAKESHORE,8,N
Monday,QUEEN AND DUFFERIN,7,W
Monday,ST CLAIR AND VAUGHAN,12,E
Monday,QUEENS QUAY AND SPADIN,52,S
Monday,ST CLAIR WEST STATION,20,E
Monday,QUEEN AND SPADINA,7,E
Monday,SPADINA AND KING,20,N
Monday,DUNDAS AND JARVIS,19,W
Monday,QUEEN AND NEVILLE PARK,10,E
Monday,QUEENS QUAY AND SPADIN,11,W
Monday,DUNDAS WEST AND MANNIN,10,W
Tuesday,WINDERMERE AND LAKESHO,24,N
Tuesday,ST CLAIR AND BATHURST,11,S
Tuesday,LESLIE BARNS,9,W
Tuesday,QUEEN AND SOHO,8,W
Tuesday,BROADVIEW AND GERRARD,9,S
Tuesday,DUNDAS AND LISGAR,9,E
Tuesday,QUEENS QUAY AND LOWER,9,E
Tuesday,DUNDAS AND BATHURST,9,W
Tuesday,DUNDAS AND MCCAUL,4,W
Tuesday,BATHURST AND QUEENS QU,17,S
Tuesday,SPADINA STATION,5,S
Tuesday,DUNDAS WEST STATION,10,S
Tuesday,KING AND DUNN,7,E
Tuesday,CARLTON AND CHURCH,9,E
Tuesday,KING AND DUFFERIN,19,E
