Day,Location,Min Delay,Bound
Thursday,UNION STATION,10,W
Thursday,DUNDAS WEST STATION,10,W
Thursday,HOWARD PARK AND RONCES,10,W
Friday,QUEEN AND WOODBINE,20,W
Friday,KING AND DUFFERIN,10,N
Friday,ROYAL YORK AND LAKESHO,12,N
Friday,DUFFERIN AND KING,5,W
Friday,HOWARD PARK AND RONCES,9,E
Friday,KING AND RONCESVALLES,7,W
Friday,YONGE AND COLLEGE,6,S
Friday,QUEEN ST W AND KING,24,W
Friday,ST CLAIR AND YONGE,32,W
Friday,QUEEN AND BOULTON,12,E
Friday,LAKESHORE AND BURLINGT,8,S
Friday,QUEEN AND WOODFIELD,6,E
Friday,QUEEN AND LANSDOWNE,8,E
Friday,KING AND PORTLAND,7,E
Friday,QUEEN AND DUFFERIN,6,N
Friday,DUNDAS AND BLOOR,5,S
Friday,QUEEN AND RIVER,26,E
Friday,SPADINA LOOP,9,N
Friday,QUEEN AND NEVILLE,11,E
Friday,DUNDAS AND PARLIAMENT,9,E
Friday,QUEEN AND RONCESVALLES,24,E
Friday,WELLINGTON AND BAY,8,W
Friday,DUNDAS AND JARVIS,28,E
Friday,ST. CLAIR AND GUNNS,10,E
Friday,HIGH PARK LOOP,17,N
Friday,SPADINA STATION,14,N
Friday,HIGH PARK LOOP,10,E
Friday,HIGH PARK LOOP,10,E
Friday,QUEEN AND RONCESVALLES,20,E
Friday,BROADVIEW STATION ( ON,10,N
Saturday,RONCESVALLES AND QUEEN,30,S
Saturday,QUEEN AND SHAW,30,E
Saturday,PARLIAMENT AND DUNDAS,10,S
Saturday,QUEEN AND CONNAUGHT,10,E
Saturday,ST CLAIR W AND WINONA,16,W
Saturday,LAKESHORE AND THIRTY S,6,E
Saturday,LAKE SHORE AND THIRTY,6,W
Saturday,KING AND ATLANTIC,6,E
Saturday,DUNDAS AND CHURCH,15,E
Saturday,HOWARD PARK AND RONCES,9,E
Saturday,QUEEN AND GLADSTONE,10,W
Saturday,BATHURST AND FLEET,7,S
Saturday,QUEEN AND ONTARIO,6,E
Saturday,KING AND PORTLAND,6,W
Saturday,QUEEN AND SUDBURY,10,E
Saturday,SPADINA AND FRONT,6,S
Saturday,DUNDAS AND BAY,10,E
Saturday,PARLIAMENT AND GERRARD,10,N
Saturday,DUNDAS AND YONGE,12,W
Saturday,ST CLAIR STATION,9,W
Saturday,LANDSDOWNE AND COLLEGE,10,E
Saturday,QUEENSWAY AND SUNNYSID,10,W
Saturday,EXHIBITION LOOP,10,E
Saturday,DUNDAS AND MCCAUL,10,N
Saturday,DUNDAS AND STERLING,10,E
Saturday,DUNDAS WEST STATION,10,W
Saturday,SPADINA AND QUEENS QUA,8,S
Sunday,KING AND BATHURST,10,E
Sunday,DUNDAS AND COLLEGE,28,E
Sunday,SPADINA STATION,30,N
Sunday,GERRARD AND ST MATHEWS,10,W
Sunday,GERRARD AND PAPE,10,W
Sunday,COLLEGE AND SPADINA,10,E
Sunday,GERRARD AND PARLIAMENT,10,W
Sunday,DUNDAS AND SORAUREN,9,E
Sunday,GERRARD AND BLACKBURN,10,W
Sunday,SPADINA AND WILLCOX,25,S
Sunday,MAIN STREET STATION,9,W
Sunday,QUEEN AND BEATY,7,E
Sunday,LANDOWNE AND COLLEGE,10,E
Sunday,DUNDAS AND YONGE,20,E
Sunday,DUNDAS AND STERLING,25,W
Sunday,DUNDAS AND SPADINA,21,E
Sunday,DUNDAS AND UNIVERSITY,13,E
Sunday,ST CLAIR AND LANSDOWNE,9,W
Sunday,DUNDAS WEST STATION,10,E
Sunday,COLLEGE AND YONGE,9,W
Sunday,DUNDAS AND HOWARD PARK,10,W
Sunday,DUNDAS AND SORAUREN,50,W
Sunday,QUEEN AND DUFFERIN,10,W
Sunday,QUEEN AND DUFFERIN,10,W
Sunday,CNE LOOP,10,E
Sunday,PEEL AND DUFFERIN,10,E
Sunday,QUEEN AND JAMESON,10,W
Sunday,QUEEN AND RONCESVALLES,15,E
Sunday,DUNDAS AND BROADVIEW,10,W
Sunday,3769 LAKE SHORE BLVD,10,W
Sunday,BATHURST AND FLEET,10,S
Sunday,HOWARD PARK AND RONCES,10,E
Sunday,PARLIAMENT AND COLE,10,S
Sunday,KING AND EMILY,49,E
Sunday,KING AND BAY,10,E
Monday,QUEENS QUAY AND FERRY,30,E
Monday,SPADINA AND QUEENS QUA,37,S
Monday,ST CLAIR STATION,11,W
Monday,ST CLAIR WEST STATION,16,W
Monday,QUEEN AND BEATY,6,E
Monday,CHARLOTTE LOOP,20,W
Monday,1576 BLOOR ST W,7,W
Monday,ST CLAIR AND WALMER,17,E
Monday,SPADINA STATION,4,S
Monday,KING AND BATHURST,31,W
Monday,ST CLAIR AND LANSDOWNE,10,W
Monday,BATHURST AND KING,12,S
Monday,UNION STATION,10,E
Monday,HOWARD PARK,10,E
Monday,KINGSTON ROAD LOOP,34,E
Monday,DUNDAS AND YONGE,10,W
Monday,ST CLAIR AND LANSDOWNE,9,W
Monday,LAKE SHORE AND FORTIET,10,W
Monday,CNE LOOP,8,E
Monday,QUEEN AND LOGAN,15,E
Monday,ST CLAIR AND BATHURST,32,W
Monday,LANDSDOWNE LOOP,10,E
Monday,KING AND JARVIS,20,E
Monday,DISTILLERY LOOP,10,N
Monday,QUEEN AND BERKLEY,10,W
Monday,QUEEN AND BERKELEY,10,W
Tuesday,KING AND NIAGARA,15,W
Tuesday,QUEENS QUAY,7,W
Tuesday,QUEENS QUAY AND LOWER,17,E
Tuesday,QUEENS QUAY AND HARBOU,15,N
Tuesday,QUEENS QUAY AND SPADIN,15,S
Tuesday,SPADINA STATION SPARE,5,N
Tuesday,BROADVIEW STATION,10,W
Tuesday,QUEEN AND RONCESVALLES,7,W
Tuesday,BAY AND DUNDAS,10,E
Tuesday,KING AND YONGE,10,W
Tuesday,KING AND YONGE,10,W
Tuesday,BROADVIEW STATION,5,N
Tuesday,DUNDAS WEST STATION,5,E
Tuesday,HIGH PARK LOOP,9,E
Tuesday,QUEENSWAY AND WINDERME,8,W
Tuesday,QUEEN AND NEVILLE PARK,26,E
Tuesday,NEVILLE PARK LOOP,28,E
Tuesday,LANSDOWNE AND COLLEGE,6,N
Tuesday,QUEEN AND BROCK,10,E
Tuesday,EXHIBITION LOOP,18,E
Tuesday,UNION STATION,15,S
Tuesday,NEVILLE PARK LOOP,20,E
Wednesday,DUNDAS AND SORAUREN,16,E
Wednesday,ST CLAIR AND VAUGHAN,13,W
Wednesday,QUEEN AND JOHN,7,N
Wednesday,DUNDAS AND OSSINGTON,13,W
Wednesday,QUEEN AND CALLENDER,30,W
Wednesday,ST. CLAIR STATION,19,S
Wednesday,KING AND COWAN,5,W
Wednesday,DUNDAS AND CHURCH,10,E
Wednesday,DUFFERIN AND PEEL,8,N
Wednesday,DUNDAS AND OSSINGTON,10,W
Wednesday,DUNDAS AND OSSINGTON,10,E
Wednesday,DUNDAS AND DOVERCOURT,10,E
Wednesday,QUEEN AND KINGSTON,9,E
Wednesday,SPADINA AND KING,10,S
Wednesday,LONG BRANCH LOOP,8,W
Wednesday,COLLEGE AND LANSDOWNE,9,E
Wednesday,MAIN STREET STATION,29,W
Wednesday,COLLEGE AND YONGE,50,E
Wednesday,QUEEN AND BROADVIEW,15,W
Wednesday,QUEEN AND CONNAUGHT,8,E
Wednesday,DUNDAS AND RONCESVALLE,10,E
Wednesday,QUEENSWAY AND WINDERME,10,W
Wednesday,DUNDAS AND LANSDOWNE,10,E
Wednesday,COLLEGE AND SPADINA,33,W
Wednesday,DUNDAS WEST STATION,10,E
Wednesday,DISTILLERY LOOP,10,N
Wednesday,QUEEN AND YORK,25,E
Wednesday,DUNDAS AND CHURCH,23,E
Wednesday,DUNDAS WEST STATION,20,W
Thursday,QUEEN AND WINDERMERE,30,N
Thursday,QUEEN AND KINGSTON,8,E
Thursday,ST CLAIR AND BATHURST,21,E
Thursday,QUEENS QUAY AND DAN LE,12,E
Thursday,DUNDAS WEST STATION,10,E
Thursday,BROADVIEW STATION,10,E
Thursday,QUEEN AND YORK,8,W
Thursday,KING AND PARLIAMENT,10,E
Thursday,UNIVERSITY AND ADELAID,10,S
Thursday,QUEEN AND BROADVIEW,18,E
Thursday,DUNDAS AND CHESNUT,10,W
Thursday,QUEEN AND BROADVIEW,6,E
Thursday,QUEENSWAY AND HARBOURF,8,S
Thursday,KING AND BATHURST,10,W
Thursday,SPADINA AND QUEENS QUA,10,N
Thursday,SPADINA STATION,10,S
Thursday,COLLEGE AND YONGE,9,E
Thursday,QUEEN AND BROADVIEW,14,W
Thursday,RONCESVALLES AND DUNDA,20,N
Thursday,QUEEN AND CONNAUGHT,10,S
Thursday,SPADINA STATION,10,N
Thursday,KING AND DUFFERIN,10,W
Thursday,QUEEN AND KINGSTON,21,E
Thursday,QUEEN AND SHERBOURNE,10,W
Thursday,BROADVIEW AND DUNDAS,10,S
Friday,DUNDAS WEST STATION,5,E
Friday,LAKESHORE AND THIRTY S,7,W
Friday,RONCESVALLES AND HIGH,7,S
Friday,QUEEN AND RONCESVALLES,7,W
Friday,COLLEGE AND UNIVERSITY,8,E
Friday,SPADINA AND DUNDAS,8,N
Friday,QUEEN AND YONGE,8,W
Friday,DUNDAS WEST STATION,10,N
Friday,SPADINA AND BREMNER,20,E
Friday,ST CLAIR STATION,6,W
Friday,DUNDAS AND PARLIAMENT,10,E
Friday,UNION STATION,8,W
Friday,GERRARD AND BOWMORE,9,E
Friday,DUNDAS AND SPADINA,10,E
Friday,QUEEN AND NEVILLE PARK,16,E
Friday,KING AND SUDBURY,5,W
Friday,DUNDAS AND CHURCH,11,E
Friday,DUNDAS AND SORAUREN,10,W
Friday,DUNDAS WEST STATION,8,W
Friday,KING AND SPADINA,8,S
Friday,SPADINA AND DUNDAS,45,N
Friday,ST. CLAIR AND NORTHCLI,11,W
Friday,BROADVIEW STATION,10,N
Saturday,LONGBRANCH LOOP,5,W
Saturday,KING AND BATHURST,10,W
Saturday,LAKE SHORE AND FORTIET,10,W
Saturday,FLEET AND FORT YORK,9,N
Saturday,LAEKSHORE WEST OF ELLI,10,W
Saturday,CARLTON AND CHURCH,10,E
Saturday,GERRARD AND PARLIAMENT,9,W
Saturday,LESLIE BARNS,4,W
Saturday,ST CLAIR WEST STATION,24,E
Saturday,COLLEGE AND OSSINGTON,8,W
Saturday,BATHURST AND FLEET,7,S
Saturday,CARLTON AND PARLIAMENT,15,W
Saturday,HUMBERWOOD LOOP,9,W
Saturday,LAKESHORE AND KIPLING,6,W
Saturday,BATHURST AND FLEET,7,S
Saturday,1756 QUEEN,10,E
Saturday,COLLEGE AND LANSDOWNE,10,W
Saturday,HIGH PARK LOOP,10,E
Saturday,SPADINA AND QUEEN,14,S
Saturday,ST CLAIR AND LASDOWNE,10,W
Saturday,ST CLAIR WEST STATION,9,E
Saturday,ST CLAIR AND OAKWOOD,9,W
Saturday,DUNDAS WEST STATION,10,W
Saturday,QUEENS QUAY LOOP,10,W
Saturday,ST CLAIR AND LANSDOWNE,13,W
Saturday,HIGH PARK LOOP,10,E
Saturday,ST CLAIR WEST AND DUFF,15,E
Saturday,CNE EASTERN LOOP,20,E
Sunday,DUFFERIN AND KING,10,N
Sunday,DUNDAS AND CHURCH,5,W
Sunday,DELAWARE AND COLLEGE,13,E
Sunday,QUEEN AND BROADVIEW,11,E
Sunday,QUEENS QUAY AND LOWER,6,E
Sunday,UNION STATION,15,W
Sunday,DUNDAS AND HOWARD PARK,9,E
Sunday,GERRARD AND CARLAW,31,E
Sunday,ST CLAIR STATION,10,W
Sunday,QUEEN AND YONGE,7,E
Sunday,QUEEN AND YONGE,7,E
Sunday,QUEEN AND PETER,7,E
Sunday,QUEEN AND BAY,7,W
Sunday,QUEEN AND SHAW,7,W
Sunday,QUEEN AND UNIVERSITY,7,W
Sunday,QUEEN AND BAY,7,E
Sunday,QUEEN AND LESLIE,7,W
Sunday,QUEEN AND UNIVERSITY,7,E
Sunday,DUNDAS AND SPADINA,30,W
Sunday,QUEEN AND BATHURST,7,W
Sunday,SPADINA AND KING,9,S
Sunday,QUEENS QUAY AND LOWER,9,N
Sunday,QUEEN AND SPADINA,10,W
Sunday,QUEEN AND BATHURST,7,W
Sunday,BROADVIEW AND QUEEN,7,W
Sunday,QUEEN AND SHAW,10,W
Sunday,QUEEN AND RONCESVALLE,7,W
Sunday,QUEENS QUAY AND REES,12,W
Sunday,LOWER SPADINA AND QUEE,9,W
Sunday,COLLEGE AND DOVERCOURT,4,W
Sunday,MCCAUL AND QUEEN,10,S
Sunday,SPADINA STATION,6,S
Sunday,QUEEN AND DUFFERIN,10,E
Sunday,QUEENS QUAY AND BATHUR,10,W
Sunday,DUNDAS WEST AND HOWARD,9,E
Monday,RONCESVALLES AND GRENA,8,S
Monday,THE QUEENSWAY AND RONC,7,E
Monday,NEVILLE LOOP,8,W
Monday,LAKESHORE AND MIMICO,8,N
Monday,SPADINA STATION,8,S
Monday,DUNDAS AND JARVIS,10,W
Monday,GERRARD AND PAPE,17,W
Monday,GERRARD AND RIVER,9,E
Monday,DUNDAS AND BAY,10,W
Monday,ST CLAIR AND LANSDOWNE,20,W
Monday,LAKESHORE AND TWENTY S,6,E
Monday,BROADVIEW AND WOLFREY,16,W
Monday,QUEEN AND SHAW,50,W
Monday,ST CLAIR WEST AND DUFF,12,W
Monday,QUEEN AND PARLIAMENT,8,E
Monday,LAKESHORE AND MARINE,6,E
Monday,ST CLAIR AND SPADINA,13,E
Monday,30 MINOWAN MIKAN,6,W
Monday,ST CLAIR AND WYCHWOOD,17,E
Monday,COLLEGE AND MCCAUL,9,E
Monday,GERRARD AND BOWMORE,9,E
Monday,SPADINA STATION,10,N
Monday,GERRARD AND BROADVIEW,9,E
Monday,QUEEN AND BEATY,7,E
Monday,QUEEN AND BROADVIEW,10,W
Monday,FLEET LOOP,9,S
Monday,FRONT AND TRINITY,10,E
Monday,FLEET AND STRACHAN,10,E
Monday,QUEEN AND MCCAUL,25,W
Tuesday,BROADVIEW AT JACK LAYT,8,S
Tuesday,KING AND JOE SHUSTER,8,W
Tuesday,STACHAN AND FLEET,8,N
Tuesday,RONCESVALLES AND GEOFF,10,N
Tuesday,QUEEN AND PARLIAMENT,9,W
Tuesday,MILL AND PARLIAMENT,10,E
Tuesday,LAKESHORE AND 32ND ST,8,W
Tuesday,KING AND PARLIAMENT,10,E
Tuesday,GERRARD AND MUNRO,10,W
Tuesday,KING AND SIMCOE,10,W
Tuesday,GERRARD AND ST MATTHEW,6,W
Tuesday,THE QUEENSWAY AND WIND,6,E
Tuesday,DUNDAS AND BLOOR,10,N
Tuesday,ST CLAIR AND LANSDOWNE,9,W
Tuesday,ST CLAIR AND VAUGHAN,12,W
Tuesday,DUNDAS AND BROADVIEW,12,N
Tuesday,ST CLAIR AND DUFFERIN,11,E
Tuesday,PARLIAMENT AND GERRARD,9,E
Tuesday,ST CLAIR WEST AND KEEL,7,E
Tuesday,LANSDOWNE LOOP,10,E
Tuesday,GERRARD AND KILDONAN,8,E
Tuesday,QUEENSWAY AND GLENDALE,7,W
Tuesday,DUNDAS AND LANSDOWNE,10,E
Tuesday,LONGBRANCH LOOP,10,W
Tuesday,QUEEN AND DUFFERIN,10,E
Tuesday,COLLEGE AND DOVERCOURT,9,W
Tuesday,DUNDAS WEST STATION,10,E
Wednesday,SUNNYSIDE LOOP,9,W
Wednesday,QUEEN AND OSSINGTON,6,W
Wednesday,QUEEN AND BROADVIEW,8,E
Wednesday,QUEENS QUAY WEST AND R,9,W
Wednesday,LANSDOWNE LOOP,9,E
Wednesday,LAKESHORE AND MARINE P,8,E
Wednesday,PARLIAMENT AND FRONT,5,N
Wednesday,KING AND SHERBOURNE,10,E
Wednesday,MAIN STATION,10,S
Wednesday,DUNDAS WEST STATION,10,W
Wednesday,QUEEN AND DUFFERIN,8,E
Wednesday,DUNDAS WEST STATION,8,E
Wednesday,DUNDAS WEST STATION,10,E
Wednesday,QUEEN AND WOODFIELD,9,W
Wednesday,COLLAGE AND UNIVERSITY,32,E
Wednesday,DUNDAS WEST STATION,10,E
Wednesday,LONG BRANCH LOOP,8,E
Wednesday,FLEET ST AND BATHURST,10,W
Wednesday,ST CLAIR STATION,6,E
Wednesday,QUEEN AND WOODFIELD,16,W
Wednesday,QUEEN AND YONGE,19,E
Wednesday,QUEEN AND BAY,15,E
Wednesday,ST CLAIR AND LANSDOWNE,10,E
Wednesday,KING AND JOHN,20,E
Wednesday,NEVILLE LOOP,28,W
Wednesday,RONCESVALLES AND GEOFF,10,N
Wednesday,QUEEN AND ST PATRICK,18,W
Wednesday,QUEEN AND SPADINA,9,W
Wednesday,QUEEN AND LOGAN,19,E
Wednesday,SPADINA AND FRONT,12,N
Wednesday,DUFFERIN AND KING,10,N
Wednesday,KING AND DUFFERIN,10,E
Thursday,QUEEN AND DUFFERIN,10,W
Thursday,LESLIE CARHOUSE,24,N
Thursday,DUNDAS AND BROADVIEW,10,W
Thursday,DUNDAS AND HOWARD PARK,5,E
Thursday,DUNDS WEST STATION,6,W
Thursday,LONG BRANCH LOOP,6,E
Thursday,PARLAIMENT AND FRONT,10,E
Thursday,KING AND STRACHAN,7,E
Thursday,ST CLAIR AND LANSDOWNE,8,E
Thursday,DUNDAS WEST STATION,10,W
Thursday,KING AND UNIVERSITY,10,E
Thursday,LONG BRANCH LOOP,8,W
Thursday,DUNDAS WEST STATION,10,S
Thursday,QUEEN AND LOWER OSSING,20,E
Thursday,QUEEN AND YORK,9,E
Thursday,QUEEN AND DUFFERIN,10,E
Thursday,QUEEN AND CARROLL,9,E
Thursday,QUEEN AND DEGRASSI,9,E
Thursday,QUEEN AND ONTARIO,9,E
Thursday,SPADINA AND DUNDAS,11,S
Thursday,DUNDAS AND SPADINA,19,W
Thursday,QUEEN AND TRILLER,10,W
Thursday,DUNDAS AND BATHURST,22,W
Thursday,DUNDAS AND BATHURST,7,W
Thursday,QUEEN AND GLEN MANOR,9,E
Thursday,ST CLAIR AND OLD STOCK,6,E
Thursday,DUNDAS WEST STATION,10,E
Thursday,803 COLLEGE STREET,6,N
Thursday,GERRARD W OF BROADVIEW,9,W
Thursday,LAKE SHORE AND SUPERIO,9,N
Thursday,LAKE SHORE AND LOUISA,10,S
Thursday,ST CLAIR AND VAUGHAN,8,E
Thursday,DUNDAS AND SHERBOURNE,12,E
Thursday,QUEEN AND DUFFERIN,10,E
Friday,BROAVIEW AND JACK LAYT,3,S
Friday,LESLIE BARNS CARHOUSE,7,N
Friday,BATHURST ST AND DUNDAS,9,W
Friday,EXHIBITION LOOP AND MA,8,E
Friday,ST CLAIR AND GLENHOLME,10,E
Friday,DUFFERIN AND QUEEN,7,N
Friday,CHERRY AND FRONT,8,N
Friday,LANSDOWNE AVE AND DUND,6,E
Friday,QUEEN AND CARLAW,9,W
Friday,SPADINA AND NASSAU,5,N
Friday,QUEEN AND CLAREMONT,20,E
Friday,COLLEGE AND YONGE,10,E
Friday,QUEEN AND PETER,15,E
Friday,QUEEN AND GLADSTONE,20,W
Friday,QUEEN AND LISGAR,10,W
Friday,FLEET AND STACHAN,10,W
Friday,WOLSELEY LOOP,9,N
Friday,DUNDAS AND BAY,11,W
Friday,COLLEGE AND EUCLID,9,E
Friday,EXHIBITION LOOP,10,E
Friday,QUEEN AND YONGE,31,E
Friday,PARLIAMENT AND DUNDAS,10,N
Friday,DUNDAS ST W AND BLOOR,10,S
Friday,DUNDAS W AND BLOOR,15,E
Friday,FLEET AND FORT YORK BL,10,E
Friday,KING AND SUMACH,10,W
Friday,COLLEGE AND SHERBOURNE,11,W
Friday,QUEEN AND YONGE,20,E
Friday,BROADVIEW AND QUEEN,49,S
Saturday,SPADINA AND RICHMOND,23,S
Saturday,BROADVIEW AND QUEEN,49,S
Saturday,SPADINA AND HARBORD,30,N
Saturday,SPADINA AND HARBORD,21,N
Saturday,QUEEN AND SPADINA,20,W
Saturday,FLEET AND BATHURST,20,W
Saturday,LAKESHORE AND THIRD,10,E
Saturday,EXHIBITION LOOP,10,E
Saturday,DUNDAS AND JARVIS,10,E
Saturday,COLLEGE AND ST HELEN'S,10,W
Saturday,BATHURST AND FLEET,10,S
Saturday,COXWELL AND GERRARD,21,E
Saturday,750 QUEEN ST.,8,W
Saturday,ST CLAIR AND LANSDOWNE,14,W
Saturday,SPADINA AND QUEENS QUA,4,S
Saturday,QUEEN AND KINGSTON,52,E
Saturday,FLEET STREET LOOP,8,S
Saturday,SPADINA AND BREMNER,4,S
Saturday,COXWELL AND GERRARD,12,S
Saturday,QUEEN AND SPADINA,22,E
Saturday,QUEEN AND CONNAUGHT,6,E
Saturday,KING AND DUNN AVE,10,E
Saturday,HIGH PARK LOOP,9,E
Saturday,DUNDAS AND UNIVERISTY,10,W
Saturday,EXHIBITION LOOP,18,E
Saturday,GERRARD AND GREENWOOD,14,W
Saturday,QUEEN AND BROADVIEW,10,N
Saturday,DUNDAS AND OSSINGTON,7,W
Saturday,QUEENS QUAY AND HARBOU,5,E
Saturday,BLOOR AND DUNDAS,10,W
Saturday,QUEENS QUAY AND HARBOU,20,W
Saturday,DUFFERIN AND PEEL,10,N
Saturday,MCCAUL AND QUEEN,10,W
Saturday,QUEEN AND CARROLL,15,E
Saturday,QUEEN AND VICTORIA,10,E
Saturday,CARLTON AND BAY,9,E
Saturday,QUEEN AND SACKVILLE,10,E
Sunday,RONCESVALLES CARHOUSE,10,E
Sunday,DOVERCOURT / QUEEN,15,S
Sunday,QUEEN AND NEVILLE PARK,11,W
Sunday,KING AND ONTRAIO ST,15,E
Sunday,QUEEN AND SPADINA,16,W
Sunday,EXHIBITION LOOP,11,S
Sunday,RONCESVALLES CARHOUSE,10,E
Sunday,QUEEN AND RIVER,10,E
Sunday,ST CLAIR AND OAKWOOD,8,E
Sunday,QUEEN AND NEVILLE,23,E
Sunday,BROADVIEW AND GERRARD,10,E
Sunday,LAKESHORE AND TWENTY S,8,E
Sunday,EXHIBITION LOOP,9,E
Sunday,DUNDAS AND BROADVIEW,10,E
Sunday,COLLEGE AND UNIVERSITY,55,W
Sunday,HIGH PARK LOOP,24,E
Sunday,BROADVIEW AND QUEEN,23,N
Sunday,DUNDAS AND DENSION,4,W
Sunday,QUEEN AND VICTORIA,15,E
Sunday,QUEEN AND MCCAUL,20,E
Sunday,QUEEN AND MCCAUL,15,E
Sunday,ST CLAIR AND TWEEDSMUI,15,E
Sunday,BROADVIEW STATION,10,E
Monday,QUEEN AND TRILLER,20,W
Monday,BATHURST AND KING,9,W
Monday,BROADVIEW AND QUEEN,9,W
Monday,MAIN STREET STATION,9,E
Monday,QUEEN AND YONGE,9,E
Monday,BATHURST AND KING,10,W
Monday,HIGH PARK LOOP,9,W
Monday,QUEEN AND JOHN,9,E
Monday,LONG BRANCH LOOP,8,E
Monday,DUNDAS WEST STATION,10,E
Monday,MAIN ST AND DANFORTH A,28,E
Monday,DANFORTH AND VICTORIA,8,W
Monday,KING AND DOWLING,6,E
Monday,CHARLOTTE LOOP,5,S
Monday,KING AND BATHURST,6,E
Monday,KING AND SUDBURY,8,E
Monday,COLLEGE AND DUFFERIN,5,E
Monday,BROADVIEW AND JACK LAY,10,W
Monday,ST CLAIR AND LANSDOWNE,13,W
Monday,QUEEN AND RUSHBROOKE,10,E
Monday,ST CLAIR AVE WEST AND,12,W
Monday,JONES AND QUEEN,8,E
Monday,DUNDAS WEST STATION,10,E
Monday,LAKE SHORE BLVD AND LE,5,W
Monday,DUNDAS AND YONGE,10,E
Monday,ST CLAIR AND LANSDOWNE,12,W
Monday,DUNDAS AND DOVERCOURT,10,E
Monday,QUEENSWAY AND RONCESVA,9,W
Monday,DUNDAS AND ST PATRICK,10,W
Monday,BROADVIEW STATION,10,N
Monday,QUEEN AND SHAW,10,W
Monday,DUNDAS AND BAY,10,W
Monday,DUNDAS AND CHESTNUT,10,W
Monday,DUNDAS AND HURON,10,E
Monday,QUEEN AND SHERBOURNE,10,W
Monday,QUEEN AND BROADVIEW,17,W
Monday,QUEEN AND NEVILLE PARK,45,W
Tuesday,DUNDAS WEST STATION,8,S
Tuesday,KINGSTON ROAD LOOP,9,E
Tuesday,QUEEN AND DUFFERIN,6,E
Tuesday,LESLIE BARNS,3,W
Tuesday,LONG BRANCH LOOP,8,N
Tuesday,KING ST E AND SUMACH S,10,W
Tuesday,DUNDAS ST W AND SHAW S,5,W
Tuesday,PARLIAMENT AND GERRARD,51,S
Tuesday,MAIN STATION,9,S
Tuesday,COLLEGE AND OSSINGTON,44,E
Tuesday,GERRARD AND RIVER,17,W
Tuesday,KING AND RIVER,8,W
Tuesday,DUNDAS ST W AND SPADIN,10,W
Tuesday,AVON LOOP,8,S
Tuesday,BATHURST AND KING,33,S
Tuesday,HOWARD PARK AND RONCES,8,W
Tuesday,CNE EAST LOOP,8,W
Tuesday,COLLEGE AND OSSINGTON,9,W
Tuesday,EXHIBITION LOOP,10,E
Tuesday,QUEEN AND CAROLINE,7,E
Tuesday,KING AND SUDBURY,9,E
Tuesday,FLEET LOOP,10,E
Tuesday,SPADINA AND COLLEGE,14,S
Tuesday,BATHURST AND FLEET,8,W
Tuesday,ST CLAIR AND LANSDOWNE,8,W
Tuesday,NEVILLE PARK LOOP,10,W
Tuesday,COLLEGE AND DUNDAS,7,E
Tuesday,QUEENS QUAY LOOP AND L,5,N
Tuesday,SPADINA AND COLLEGE,10,N
Tuesday,SPADINA STATION,10,N
Tuesday,DUNDAS AND DUFFERIN,10,E
Tuesday,EVANS AND KIPLING,11,W
Tuesday,QUEEN AND WOODBINE,12,W
Tuesday,QUEEN AND BATHURST,10,E
Tuesday,PARLIAMENT AND GERRARD,10,S
Tuesday,SPADINA AND RICHMOND,9,N
Tuesday,BROADVIEW AND GERRARD,10,W
Wednesday,QUEEN AND BROADVIEW,12,W
Wednesday,QUEEN AND SPADINA,10,W
Wednesday,QUEENS QUAY AND HARBOU,10,S
Wednesday,GUNNS LOOP,12,E
Wednesday,DUNDAS AND LANSDOWNE,10,E
Wednesday,QUEEN ST E AND GREENWO,9,E
Wednesday,RONCESVALLES AND HOWAR,10,S
Wednesday,QUEEN AND MARKHAM,23,W
Wednesday,QUEEN AND BATHURST,29,N
Wednesday,QUEEN AND CHURCH,28,W
Wednesday,DUNDAS AND PALMERSTON,10,E
Wednesday,BROADVIEW AND QUEEN,28,W
Wednesday,LAKESHORE AND BROWN'S,8,W
Wednesday,QUEEN AND UNIVERSITY,25,W
Wednesday,KING AND FRASER,10,E
Wednesday,ST CLAIR AND DUFFERIN,11,W
Wednesday,QUEEN AND RONCESVALLES,5,E
Wednesday,ST CLAIR AND DUFFERIN,16,E
Wednesday,BROADVIEW AND LANGLEY,18,S
Wednesday,ST CLAIR STATION,17,W
Wednesday,BROADVIEW AND LANGLEY,15,S
Wednesday,ST CLAIR WEST STATION,17,E
Wednesday,DUNDAS AND BAY,8,W
Wednesday,ST CLAIR WEST STATION,12,E
Wednesday,BATHURST AND FLEET,15,W
Wednesday,CNE LOOP,9,E
Wednesday,SPADINA AND COLLEGE,10,N
Wednesday,MOUNT DENNIS GARAGE,10,W
Wednesday,SHAW AND QUEEN,11,E
Wednesday,QUEENS QUAY AND LOWER,21,E
Wednesday,SPADINA AND QUEENS QUA,24,N
Wednesday,QUEEN AND JARVIS,8,E
Wednesday,SPADINA AND QUEENS QUA,9,N
Thursday,LAKESHORE AND BROWNS L,30,W
Thursday,QUEEN ST W AND TRILLER,9,W
Thursday,BROADVIEW STATION,4,W
Thursday,MILL ST AND PARLIAMENT,10,N
Thursday,DUNDAS AND BATHURST,16,E
Thursday,KING AND SACKVILLE,9,E
Thursday,THE QUEENSWAY AND ELLI,8,S
Thursday,KING AND SACKVILLE,50,E
Thursday,QUEENS QUAY AND REES,15,N
